ID,Tipo,REF,Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição curta",Descrição,"Data de preço promocional começa em","Data de preço promocional termina em","Status da taxa","Classe de taxa","Em estoque?",Estoque,"Quantidade baixa de estoque","São permitidas encomendas?","Vendido individualmente?","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Nota da compra","Preço promocional",Preço,Categorias,Tags,"Classe de entrega",Imagens,"Limite de download","Dias para expirar o download","Produto ascendente","Grupo de produtos","Aumentar vendas","Venda cruzada","URL externa","Texto do botão",Posição,"Swatches Attributes","Nome do atributo 1","Valores do atributo 1","Visibilidade do atributo 1","Atributo global 1","Atributo padrão 1","Nome do atributo 2","Valores do atributo 2","Visibilidade do atributo 2","Atributo global 2","Atributo padrão 2","Metadado: _et_pb_use_builder","Metadado: _et_pb_old_content"
137,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Azul Oxford, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,10,,Cor,"Azul Oxford",,1,,Tamanho,Infantil,,1,,,
138,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Azul Royal, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,11,,Cor,"Azul Royal",,1,,Tamanho,Adulto,,1,,,
139,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Azul Royal, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,12,,Cor,"Azul Royal",,1,,Tamanho,Infantil,,1,,,
140,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Bege, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,13,,Cor,Bege,,1,,Tamanho,Adulto,,1,,,
141,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Bege, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,14,,Cor,Bege,,1,,Tamanho,Infantil,,1,,,
142,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Bordô, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,15,,Cor,Bordô,,1,,Tamanho,Adulto,,1,,,
143,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Bordô, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,16,,Cor,Bordô,,1,,Tamanho,Infantil,,1,,,
144,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Branco, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,17,,Cor,Branco,,1,,Tamanho,Adulto,,1,,,
145,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Branco, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,18,,Cor,Branco,,1,,Tamanho,Infantil,,1,,,
146,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Branco/Pink, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,19,,Cor,Branco/Pink,,1,,Tamanho,Adulto,,1,,,
147,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Branco/Pink, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,20,,Cor,Branco/Pink,,1,,Tamanho,Infantil,,1,,,
148,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Chumbo, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,21,,Cor,Chumbo,,1,,Tamanho,Adulto,,1,,,
149,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Chumbo, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,22,,Cor,Chumbo,,1,,Tamanho,Infantil,,1,,,
150,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Cinza, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,23,,Cor,Cinza,,1,,Tamanho,Adulto,,1,,,
151,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Cinza, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,24,,Cor,Cinza,,1,,Tamanho,Infantil,,1,,,
152,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Laranja, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,25,,Cor,Laranja,,1,,Tamanho,Adulto,,1,,,
153,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Laranja, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,26,,Cor,Laranja,,1,,Tamanho,Infantil,,1,,,
154,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Lilás, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,27,,Cor,Lilás,,1,,Tamanho,Adulto,,1,,,
155,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Lilás, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,28,,Cor,Lilás,,1,,Tamanho,Infantil,,1,,,
156,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Marrom, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,29,,Cor,Marrom,,1,,Tamanho,Adulto,,1,,,
157,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Marrom, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,30,,Cor,Marrom,,1,,Tamanho,Infantil,,1,,,
158,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Preto, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,31,,Cor,Preto,,1,,Tamanho,Adulto,,1,,,
159,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Preto, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,32,,Cor,Preto,,1,,Tamanho,Infantil,,1,,,
160,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Rosa Bebê, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,33,,Cor,"Rosa Bebê",,1,,Tamanho,Adulto,,1,,,
161,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Rosa Bebê, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,34,,Cor,"Rosa Bebê",,1,,Tamanho,Infantil,,1,,,
162,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Rosa Claro, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,35,,Cor,"Rosa Claro",,1,,Tamanho,Adulto,,1,,,
163,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Rosa Claro, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,36,,Cor,"Rosa Claro",,1,,Tamanho,Infantil,,1,,,
164,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Rosa Pink, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,37,,Cor,"Rosa Pink",,1,,Tamanho,Adulto,,1,,,
165,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Rosa Pink, Infantil",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,38,,Cor,"Rosa Pink",,1,,Tamanho,Infantil,,1,,,
166,variation,,"MÁSCARA DE PROTEÇÃO - FAÇA VOCÊ BY DESMASCARE - Rosa Salmão, Adulto",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,18,,,,,,,1187203,,,,,,39,,Cor,"Rosa Salmão",,1,,Tamanho,Adulto,,1,,,
